nom,categorie,souscategorie,tel,mail,adresse,web,catalogue,horaires,description
CHAUSSEE Nathalie,soins,medecin,05 61 81 12 55,,,https://www.doctolib.fr/medecin-generaliste/saint-leon/nathalie-chaussee,,,Médecin généraliste
MICHEL Marie,soins,medecin,05 61 81 12 55,,,https://www.doctolib.fr/medecin-generaliste/saint-leon/marie-michel-saint-leon,,,Médecin généraliste
CESSES Jérôme,soins,kinésithérapeute,05 62 18 34 33,,,https://www.doctolib.fr/masseur-kinesitherapeute/st-leon/jerome-cesses,,,Kinésithérapeute
??,soins,orthophoniste,??,,??,??,??,,??
HOUY Vincianne,service,coiffeur,05 62 47 01 29,,,,Récupérer tarifs,,Salon de Coiffure
Au Dhango,alimentation,epicerie,05 61 81 73 44,epicerie-stleon@hotmail.fr,,https://www.facebook.com/injy.audhango.9,,,"Epicerie générale, Produits locaux"
Cap Local,alimentation,epicerie,05 34 43 31 99,contact@cap-local.fr,10 rue de l’église 31560 SAINT LEON,https://cap-local.fr/,https://cap-local.fr/4-nos-produits,,"Avec Cap Local, vous faites votre marché de producteurs locaux sans panier imposé ni abonnement et nous vous livrons dès le lendemain de votre commande sur Toulouse et son agglomération"
Les jardins d'Oc,artisanat,espaces verts,06 46 54 76 32,lesjardinsdoc31@gmail.com,"41 Rue de la Découverte, 31670 Labège",https://www.lesjardinsdoc-paysagiste.fr/,https://www.lesjardinsdoc-paysagiste.fr/nos-service/,,Paysagistes
DEBAT   Jean-Pierre,alimentation,vente directe,05 61 81 92 11,,,,Récupérer tarifs,,"Négoce animaux, Vente à la ferme"
SCEA du FUMET Mr ARMENGAUD Frédéric,alimentation,vente directe,06.86.48.80.26    ,,,,Récupérer tarifs,,Vente à la ferme  
Muriel GUILLAUMON,alimentation,vente directe,05.34.43.06.48,,La Grange 31560 Saint-Léon,https://www.muriel-guillaumon.fr/,Récupérer tarifs,,"Miels gourmets artisanaux
et produits de la ruche"
CONTE Jean-Claude,artisanat,maçon, 06 13 08 21 23,,,,,,Maçonnerie Générale
DARBAS   Fabrice,artisanat,peintre,05 34 66 06 48,,,,,,Peintre
COUGET   Christian,artisanat,plaquiste,06 77 05 76 84,,,,,,Plaquiste
Ent FRUCHET,artisanat,maçon,06 09 60 51 21,entreprisefruchet@yahoo.fr,,,,,Maçonnerie - Rénovation
PLAQUISTES du Lauragais,artisanat,plaquiste,06 14 95 19 11,,,,,,Plaquiste Neuf & Rénovation
SOULA Bruno,artisanat,plombier,05 61 81 65 81,,,,,,Plombier
SALIOT Jean-Claude,artisanat,multiservices, 06 62 94 33 64,jeanclaude.saliot@sfr.fr,,,,,Multiservices - Pose de cuisines & terrases bois
PERROT   Lionel,artisanat,peintre,05 61 07 68 82,perrot.lionel31@orange.fr,,,,,Peintre
SYSTEMPLAC   PUGET Ch.,artisanat,plaquiste,06 15 49 19 27,,,,,,Plâtrerie sèche & technique
Agence Cooking,alimentation,traiteur,07 83 23 95 81,contact@agencecooking.fr,,www.agencecooking.fr,https://www.agencecooking.fr/commandes-coif,,L’Agence Cooking mijote et livre des repas complets aux professionnels et particuliers. 
Resto'Paf,alimentation,traiteur,06 30 57 35 41,,,http://restopaf.fr/,http://www.restopaf.fr/pages/carte.html,jeudi 18h-21h,"Pizzas, Plats cuisinés"
Ahmed ???,artisanat,plombier,06 19 59 40 72,,,,,,
Château de ROUAIX,service,hebergement, 05 62 71 93 71,,,,,,Résidence Locative
DENORME Michel,service,hebergement,06 79 35 75 13,,,,,,Gîte
LABORIE Geneviève,service,hebergement,05 61 81 33 70,,,,,,Gîte
MARQUEZ   Joëlle,service,hebergement, 05 61 27 59 45,,,,,,Gîte
LAMOUROUX A. Marie,service,hebergement,05 61 81 92 21,,,,,,Chambres d’Hôtes - Gîtes ruraux - Ferme auberge
DUBAC Marie,service,hebergement,06 21 92 03 75,,,,,,Gîte La Carle - 3 épis
Christian CONNILLIERES,soins,autre,06 20 49 88 07, energie.therapie31@gmail.com,,,,,Energéticien - Ecoute thérapeutique
Cabinet DOU EXPERTISES,autre,autre,05 61 45 26 15,cdex@orange.fr,,,,,Expert d’assurés
Cie des   Menestrelli - Mr Américo   PIAGESSI,autre,autre,06 83 78 64 62,,,,,,"Musique italienne, animations et spectacles pour enfant, carnavals, Noël"
EURL KEVLAR,autre,autre,05 61 27 91 59,,,,,,Sécurité & Protection
Ecuries des Houarn FER   Gwendolen,autre,autre,06 82 93 70 51,,,,,,Pension pour chevaux
MERCIER   Jean Louis,autre,autre,05 61 81 45 25,,,,,,Formation Marketing
OVALIE,,,06 14 48 61 28,Thierry.reynes@live.fr,,,,,Assurances Courtage d’Assurances
Nathalie Chaulaic,artisanat,,06.86.26.67.34,mosaïque@nathaliechaulaic.com,La Miejanne 31560 St Léon,http://www.nathaliechaulaic.com/,https://www.nathaliechaulaic.com/projets-sur-mesure/,,Mosaïste
TOULOUSE MARKETING,service,autre,06.13.55.87.36,,,http://toulouse-marketing.fr/,,,Evènementiel d'entreprise
EXPOSANTS MARCHE,alimentation,vente directe,,,,,,lundi 16h-21h,
Terres de vies,alimentation,vente directe,06.32.52.99.44, sylvain-collet@orange.fr, Les Basties 31560 ST LEON,https://www.terre-de-vies.fr/,,,"Endives de novembre à avril et pleurotes de mai à juin et de septembre à novembre, légumes à feuilles à partir de 2021"
BEGHIN Nathalie,service,assistante maternelle,06.79.68.62.69,,33 rue des Pyrénées Villa 12,,,,
BELINGUIER Marie-Claude,service,assistante maternelle,06.45.18.75.95,,"4 route de Saint Léon, Caussidières",,,,
MAINGUET Valérie,service,assistante maternelle,06.13.79.23.98,,1 rue des fougères,,,,
MALET Élodie,service,assistante maternelle,06.18.09.03.88,,11 route de Nailloux,,,,
METOIS Christelle,service,assistante maternelle,06.07.18.16.55,,32 rue de la République,,,,
PISANO Rose-Marie,service,assistante maternelle,06.98.80.75.46,,9 rue des Pyrénées Lot Souleilla,,,,
ROMA Martine,service,assistante maternelle,06.20.62.28.01,,"Lieu-dit ""L’olivier"", Caussidières",,,,
SAFFON Josiane,service,assistante maternelle,06.80.05.72.34,,"Les Potences, 3 route de Nailloux",,,,
TISTOUNET Sandra,service,assistante maternelle,06.63.23.59.14,,32 bis route de Nailloux,,,,
La Ferme de Cagueloup,alimentation,vente directe,05.61.45.76.21,,250 Route de Saint Léon 31450 Montgiscard,http://www.fermedecagueloup.fr/,http://www.fermedecagueloup.fr/nos-produits,,"Fidèles à la tradition du sud-ouest, nos produits régionaux de première qualité font bon ménage avec les recettes de nos grand-mères. Nous élevons et gavons nos canards et volailles pour produire des spécialités au plus près de la tradition."
Les P'tits Laitiers,alimentation,vente directe,06.14.08.45.57,lesptitslaitiers@gmail.com,"100 Route de Grepiac, 31190 Auterive",https://www.facebook.com/lesptitslaitiers/,,,"Lait de vache. Glaces fermières (vanille, chocolat, pistache, rhum-raisins, fraise, fleur de lait, kiwi, menthe, miel-quinoa, amarena, banane, crème de marron, pruneaux-armagnac, caramel beurre salé, sirop d'érable, citron, orange, noisette...) "
